人物姓名,人物网址,所处时代,本名,民族族群,出生地,逝世日期,主要成就,官职,字,爵位,别名,出生日期,谥号,籍贯,字号,主要作品,中文名,民族,职业,父亲,国籍,性别,陵墓,去世时间,典故,年号,别称,在位时间,封爵,职位,出生时间,庙号,儿子,追赠,兄弟,身份,追封,地位,信仰,势力,官爵,相关事件,母亲,子,代表作品,子嗣,外文名,夫君,父,记载,官位,葬处,结局,家世信息,封号,丈夫,子女,配偶,祖籍,祖父,朝代,容貌,家世,号,陵寝,特征,人物关系,职务,兄长,官至,嫡庶身份,尊称,持麾经历,终年,武器,家世归属,书法成就,逝世地,后世追谥,加封,阵营,所处朝代,哥哥,相关典故,去世地,追尊,宋代加封,所处时期,样貌,藏处,主效势力,最高任职,宗教信仰,妻子,主公,史料记载,婚姻状况,姐妹,出处,史书记载,封侯,外号,食邑,拼音,出生地点,生卒年,相关历史人物,曾祖,评价,孙,父母,族弟,叔祖父,身世,结果,死因,兄弟姐妹,特点,好友,国家,相关人物,时期,气质,年代,登场作品,主要事迹,曾祖父,简介
程昱,https://baike.baidu.com/item/%E7%A8%8B%E6%98%B1/64979,"[""汉末三国""]","[""程昱""]","[""汉族""]","[""东郡东阿（今山东东阿）""]","[""220年""]","[""魏朝开国元勋之一""]","[""尚书、东中郎将、奋武将军、卫尉""]","[""仲德""]","[""安国亭侯→安乡侯""]","[""程立""]","[""141年""]","[""肃""]",,,,,,,,,,,,,,,,,,,,,,,,"[""车骑将军""]",,,,,,,,,,,,,,,,,,,,,,,,,"[""长八尺三寸，美须髯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刘晔,https://baike.baidu.com/item/%E5%88%98%E6%99%94/5444,"[""三国曹魏""]",,,"[""淮南成德""]","[""234年""]","[""曹氏三代元老，多次提出优秀的战略建议""]","[""太中大夫、大鸿胪""]",,,"[""子扬""]",,"[""景侯""]",,,,"[""刘晔""]","[""汉族""]",,,,,,,,,,,"[""东亭侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒋济,https://baike.baidu.com/item/%E8%92%8B%E6%B5%8E/714600,"[""汉末三国""]","[""蒋济""]","[""汉族""]","[""楚国平阿""]","[""249年5月18日""]","[""辅佐曹魏四代君王""]","[""太尉""]","[""子通""]","[""昌陵亭侯→都乡侯""]",,"[""188年""]","[""景""]",,,"[""《万机论》""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华歆,https://baike.baidu.com/item/%E5%8D%8E%E6%AD%86/1021255,"[""汉末三国""]","[""华歆""]","[""汉族""]","[""平原郡高唐县""]","[""232年1月30日""]","[""为豫章太守，吏民感爱之""]","[""太尉""]","[""子鱼""]","[""博平侯""]","[""华子鱼"", ""华太尉"", ""华独坐"", ""华公"", ""龙头""]","[""157年""]","[""敬""]",,,"[""文集三十卷""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
钟繇,https://baike.baidu.com/item/%E9%92%9F%E7%B9%87/5865,"[""汉末三国""]","[""钟繇""]","[""汉族""]","[""豫州颍川郡长社县""]","[""230年""]","[""平河东，收抚南匈奴；推动楷书发展""]","[""太傅""]","[""元常""]","[""定陵侯""]","[""钟元常"", ""钟太傅"", ""钟太尉""]","[""151年""]","[""成""]",,,"[""《贺捷表》"", ""《力命表》"", ""《宣示表》"", ""《荐季直表》等""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""楷书鼻祖""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
董昭,https://baike.baidu.com/item/%E8%91%A3%E6%98%AD/38362,"[""三国（曹魏）""]",,,"[""济阴定陶（今山东定陶）""]","[""236年7月4日""]","[""曹魏开国元勋""]","[""司徒""]",,,"[""董公仁""]","[""156年""]","[""定""]",,,,"[""董昭""]","[""汉族""]","[""谋士、官员""]",,,,,,,,,,"[""乐平侯""]",,,,,,,,,,,,,,,,"[""《上明帝表》"", ""《陈末流之弊疏》""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王朗,https://baike.baidu.com/item/%E7%8E%8B%E6%9C%97/6664,"[""汉末三国""]","[""王朗""]","[""汉族""]","[""东海郡郯县""]","[""228年""]","[""曹魏三朝重臣""]","[""御史大夫、司空、司徒等""]","[""景兴""]","[""兰陵侯""]","[""王严""]",,"[""成""]",,,"[""《周易传》"", ""《春秋传》"", ""《孝经传》"", ""《周官传》等""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
崔琰,https://baike.baidu.com/item/%E5%B4%94%E7%90%B0/39277,"[""东汉""]","[""崔琰""]","[""汉族""]","[""清河东武城""]","[""216年""]",,"[""骑都尉、别驾从事、尚书、中尉""]","[""季珪""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毛玠,https://baike.baidu.com/item/%E6%AF%9B%E7%8E%A0/949108,"[""东汉末年""]","[""毛玠""]","[""汉族""]","[""陈留平丘""]","[""216年""]","[""为曹操规划天下大计""]","[""尚书仆射""]","[""孝先""]",,"[""毛尚书""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杨修,https://baike.baidu.com/item/%E6%9D%A8%E4%BF%AE/8088,"[""东汉""]","[""杨修""]","[""汉族""]","[""弘农华阴（今陕西华阴）""]","[""219年""]","[""在争夺魏太子的事件选择支持曹植""]","[""丞相主簿""]","[""德祖""]",,,"[""175年""]",,,,"[""《答临淄侯笺》"", ""《节游赋》"", ""《神女赋》""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
