人物姓名,人物网址,所处时代,本名,民族族群,出生地,逝世日期,主要成就,官职,字,爵位,别名,出生日期,谥号,籍贯,字号,主要作品,中文名,民族,职业,父亲,国籍,性别,陵墓,去世时间,典故,年号,别称,在位时间,封爵,职位,出生时间,庙号,儿子,追赠,兄弟,身份,追封,地位,信仰,势力,官爵,相关事件,母亲,子,代表作品,子嗣,外文名,夫君,父,记载,官位,葬处,结局,家世信息,封号,丈夫,子女,配偶,祖籍,祖父,朝代,容貌,家世,号,陵寝,特征,人物关系,职务,兄长,官至,嫡庶身份,尊称,持麾经历,终年,武器,家世归属,书法成就,逝世地,后世追谥,加封,阵营,所处朝代,哥哥,相关典故,去世地,追尊,宋代加封,所处时期,样貌,藏处,主效势力,最高任职,宗教信仰,妻子,主公,史料记载,婚姻状况,姐妹,出处,史书记载,封侯,外号,食邑,拼音,出生地点,生卒年,相关历史人物,曾祖,评价,孙,父母,族弟,叔祖父,身世,结果,死因,兄弟姐妹,特点,好友,国家,相关人物,时期,气质,年代,登场作品,主要事迹,曾祖父,简介
于禁,https://baike.baidu.com/item/%E4%BA%8E%E7%A6%81/17366,"[""汉末三国""]","[""于禁""]","[""汉族""]","[""泰山钜平""]","[""221年""]","[""讨伐黄巾余党、于张绣叛乱中坚守营垒""]","[""左将军、安远将军""]","[""文则""]","[""益寿亭侯""]",,,"[""厉""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
许褚,https://baike.baidu.com/item/%E8%AE%B8%E8%A4%9A/6768,"[""汉末三国""]","[""许褚""]","[""汉族""]","[""谯国谯县""]",,"[""渭水救曹操，吓退马超""]",,"[""仲康""]",,"[""虎侯""]",,"[""壮""]",,,,,,,,,,,,,,,,"[""关内侯-万岁亭侯-牟乡侯""]",,,,,,,,,,,,"[""武卫将军""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吕虔,https://baike.baidu.com/item/%E5%90%95%E8%99%94/2376330,"[""汉末三国""]","[""吕虔""]","[""汉族""]","[""任城国""]",,"[""在泰山十数年，甚有威惠；大败济南黄巾，讨破历城叛贼""]","[""徐州刺史、威虏将军""]","[""子恪""]","[""万年亭侯""]",,,,,,,,,,,,,,,"[""吕虔佩刀""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文聘,https://baike.baidu.com/item/%E6%96%87%E8%81%98/714353,"[""汉末三国""]","[""文聘""]","[""汉族""]","[""南阳宛（今河南南阳）""]",,"[""攻取关羽的辎重，烧毁关羽的战船，击退孙权的进攻""]","[""江夏太守、后将军""]","[""仲业""]","[""新野侯""]",,,"[""壮""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臧霸,https://baike.baidu.com/item/%E8%87%A7%E9%9C%B8/764577,"[""汉末三国""]","[""臧霸""]","[""汉族""]","[""泰山华县（今山东费县方城镇）""]",,"[""逢龙败韩当，居巢破孙权""]",,"[""宣高""]",,"[""奴寇""]",,"[""威侯""]",,,,,,"[""将领""]",,,,,,,,,,"[""良成侯""]",,,,,,,,,,,,,,,,,,,,,,"[""镇东将军、执金吾""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
郭淮,https://baike.baidu.com/item/%E9%83%AD%E6%B7%AE/949987,"[""汉末三国""]","[""郭淮""]","[""汉族""]","[""太原阳曲（今山西太原）""]","[""255年2月23日""]","[""降夷拓边，破羌御蜀""]","[""车骑将军、仪同三司、雍州刺史""]","[""字伯济""]","[""阳曲侯""]",,,"[""贞""]",,,,,,,,,,,,"[""郭淮遣妻""]",,,,,,,,,"[""大将军""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""太原郭氏""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
钟会,https://baike.baidu.com/item/%E9%92%9F%E4%BC%9A/18087,"[""三国""]","[""钟会""]","[""汉族""]","[""颍川长社（今河南长葛）""]","[""264年3月3日""]","[""平诸葛诞之叛、与邓艾分兵灭蜀""]",,"[""士季""]",,,"[""225年""]",,,,"[""《四本论》"", ""《移蜀将吏士民檄》""]",,,"[""将领、谋士、书法家""]",,,,,,,,,,"[""关内侯、东武亭侯、万户县侯""]",,,,,,,,,,,,,,,,,,,,,,"[""秘书郎、中郎、司隶校尉、司徒""]",,,,,,,,,,,,,,,,,,,,,,,,,,"[""隶行草章草并入妙品、逸致飘然""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
邓艾,https://baike.baidu.com/item/%E9%82%93%E8%89%BE/6770,"[""汉末三国""]","[""邓艾""]","[""汉族""]","[""义阳棘阳""]","[""264年3月3日""]","[""治理魏国西方，与姜维多次对峙；率兵偷渡阴平，攻灭蜀汉""]","[""兖州刺史、征西将军、太尉""]","[""士载""]","[""关内侯、方城亭侯、邓侯""]","[""邓范""]","[""197年""]",,,,"[""《济河论》""]",,,,,,,,,"[""期期艾艾，邓艾大志""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
曹休,https://baike.baidu.com/item/%E6%9B%B9%E4%BC%91/833559,"[""汉末三国""]","[""曹休""]","[""汉族""]","[""沛国谯县（今安徽亳州）""]","[""228年11月8日""]","[""下辨之战破吴兰，武都退张飞，洞浦破吕范，皖城斩审德""]","[""征东大将军、扬州牧、大司马""]","[""文烈""]","[""东阳亭侯→长平侯""]","[""曹文烈""]",,"[""壮""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
张绣,https://baike.baidu.com/item/%E5%BC%A0%E7%BB%A3/18170,"[""东汉""]","[""张绣""]","[""汉族""]","[""武威祖厉（今甘肃靖远）""]","[""207年""]","[""称雄宛城、在官渡之战力战有功，封邑最多""]","[""破羌将军""]",,"[""宣威侯""]",,,"[""定""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王凌,https://baike.baidu.com/item/%E7%8E%8B%E5%87%8C/23660,"[""汉末三国""]","[""王凌""]","[""汉人""]","[""太原祁县（今山西祁县）""]","[""251年6月15日""]","[""夹石保曹休，芍破败全琮；为三州刺史，咸得军民之欢心""]",,"[""彦云""]",,,"[""172年""]",,,,"[""《与太傅司马宣王书》""]",,,,,,,,,,,,,,,,,,,,,,,,,"[""太尉，南乡侯""]","[""淮南三叛""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
夏侯尚,https://baike.baidu.com/item/%E5%A4%8F%E4%BE%AF%E5%B0%9A/2430141,"[""汉末三国""]","[""夏侯尚""]","[""汉族""]","[""沛国谯郡（今安徽亳州）""]","[""226年""]",,"[""征南大将军、荆州牧""]","[""伯仁""]","[""昌陵乡侯""]",,"[""不详""]","[""悼""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毌丘俭,https://baike.baidu.com/item/%E6%AF%8C%E4%B8%98%E4%BF%AD/978718,"[""三国""]","[""毌丘俭""]","[""汉人""]","[""河东闻喜（今山西闻喜县）""]","[""255年""]","[""太子文学；为四州刺史；重创高句丽，征服东北亚；合肥战败诸葛恪""]","[""刺史、度辽将军、镇东大将军、都督假节""]","[""仲恭""]","[""高阳乡侯→安邑侯""]","[""毌丘荆州、丘俭、母邱俭（个别史料）""]",,,,,"[""《答杜挚》"", ""《承露盘赋》"", ""《承露盘铭》"", ""《罪状司马师表》"", ""《在幽州》""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
诸葛诞,https://baike.baidu.com/item/%E8%AF%B8%E8%91%9B%E8%AF%9E/2985314,"[""曹魏""]","[""诸葛诞""]","[""汉族""]","[""琅琊阳都""]","[""258年4月10日""]","[""平定叛乱 抵抗东吴 讨伐司马昭""]","[""征东大将军""]","[""公休""]","[""高平侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刘备,https://baike.baidu.com/item/%E5%88%98%E5%A4%87/30564,"[""汉末三国""]","[""刘备""]","[""汉族""]","[""涿郡涿县""]","[""223年6月10日""]","[""夺取两川、建立蜀汉、对抗曹操""]",,"[""玄德""]",,"[""汉昭烈帝"", ""蜀汉先主"", ""刘玄德""]","[""161年""]","[""昭烈皇帝""]",,,,,,,,,,,,,"[""章武""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刘禅,https://baike.baidu.com/item/%E5%88%98%E7%A6%85/17362,"[""三国""]","[""刘禅""]","[""汉族""]","[""荆州""]","[""271年""]",,,"[""公嗣""]",,"[""阿斗"", ""后主""]","[""207年""]","[""孝怀皇帝""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孙乾,https://baike.baidu.com/item/%E5%AD%99%E4%B9%BE/9770,"[""东汉""]","[""孙乾""]","[""汉族""]","[""北海郡""]","[""约215年""]",,"[""秉忠将军""]","[""公祐""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
简雍,https://baike.baidu.com/item/%E7%AE%80%E9%9B%8D/5396,"[""汉末三国""]","[""简雍""]","[""汉族""]","[""涿郡""]",,"[""常为谈客，往来使命""]","[""昭德将军""]","[""宪和""]",,"[""耿雍""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
糜芳,https://baike.baidu.com/item/%E9%BA%8B%E8%8A%B3/11018868,"[""汉末三国""]","[""麋芳""]","[""汉族""]","[""东海朐县（今江苏省连云港市）""]",,"[""随刘备奔波多年，与贺齐突袭蕲春""]","[""南郡太守""]","[""子方""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
庞统,https://baike.baidu.com/item/%E5%BA%9E%E7%BB%9F/8474,"[""东汉""]","[""庞统""]","[""汉族""]","[""荆州襄阳（治今湖北襄阳）""]","[""214年8月29日""]","[""辅佐刘备入蜀得川""]","[""军师中郎将""]","[""士元""]",,"[""凤雏""]","[""179年2月19日""]","[""靖""]",,,,,,,,,,,,,,,,,,,,,"[""关内侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法正,https://baike.baidu.com/item/%E6%B3%95%E6%AD%A3/17369,"[""东汉""]","[""法正""]","[""汉人""]","[""扶风郿（今陕西省眉县小法仪镇）""]","[""220年""]","[""辅助刘备夺取益州、汉中""]","[""尚书令、护军将军""]","[""孝直""]",,,"[""176年""]","[""翼""]",,,"[""《与刘璋笺》""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马良,https://baike.baidu.com/item/%E9%A9%AC%E8%89%AF/1230,"[""三国蜀汉""]","[""马良""]",,,"[""222年""]",,"[""侍中""]",,,,"[""187年""]",,"[""襄阳宜城（今湖北宜城南）""]",,,,"[""汉族""]","[""官员""]",,,,,,,,,,,,,,"[""马秉""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
徐庶,https://baike.baidu.com/item/%E5%BE%90%E5%BA%B6/17367,"[""三国""]","[""徐福""]","[""汉族""]","[""颍川长社（治今河南禹州）""]",,"[""向刘备推荐诸葛亮""]",,"[""元直""]",,"[""徐庶"", ""单福（《三国演义》中化名）""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
费祎,https://baike.baidu.com/item/%E8%B4%B9%E7%A5%8E/1788054,"[""三国""]","[""费祎""]","[""汉族""]","[""江夏""]","[""253年2月""]","[""休养生息，增强蜀汉国力""]","[""大将军""]","[""文伟""]","[""成乡候""]",,,"[""敬""]",,,"[""嘲吴群臣""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒋琬,https://baike.baidu.com/item/%E8%92%8B%E7%90%AC/69708,"[""汉末三国""]","[""蒋琬""]","[""汉族""]","[""零陵郡湘乡县""]","[""246年""]","[""继诸葛亮执政，安定众心""]","[""大司马、大将军、益州刺史""]","[""公琰""]","[""安阳亭侯""]","[""蒋恭侯""]",,"[""恭""]",,,"[""《丧服要记》"", ""《承命上疏》""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""涪城西山""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黄皓,https://baike.baidu.com/item/%E9%BB%84%E7%9A%93/65955,"[""三国（蜀汉）""]","[""黄皓""]","[""汉族""]",,,,"[""黄门丞→中常侍、奉车都尉""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
诸葛亮,https://baike.baidu.com/item/%E8%AF%B8%E8%91%9B%E4%BA%AE/21048,"[""汉末三国""]","[""诸葛亮""]","[""汉族""]","[""琅琊阳都""]","[""234年10月8日""]","[""隆中决策；协助刘备夺取荆益和建立蜀汉；安定南中，五次北伐""]","[""丞相、益州牧、司隶校尉""]","[""孔明""]","[""武乡侯""]","[""诸葛武侯""]","[""181年""]","[""忠武""]",,,"[""《出师表》"", ""《后出师表》"", ""《诫子书》"", ""《兵法二十四篇》""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""卧龙""]",,,,,,,,,,,,,,"[""五丈原（今陕西省宝鸡市岐山五丈原）""]","[""武兴王（东晋）；武灵王（唐）等""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
关羽,https://baike.baidu.com/item/%E5%85%B3%E7%BE%BD/17338,"[""东汉末年""]","[""关羽""]","[""汉族""]","[""河东郡解县""]","[""220年""]","[""白马斩颜良；襄樊擒于禁、杀庞德、威震华夏""]","[""前将军、襄阳太守""]","[""本字长生，后改字云长""]","[""汉寿亭侯""]","[""美髯公"", ""关公"", ""武圣"", ""壮缪侯""]",,"[""壮缪侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
张飞,https://baike.baidu.com/item/%E5%BC%A0%E9%A3%9E/3622,"[""汉末三国""]","[""张飞""]","[""汉族""]","[""涿郡(今河北保定涿洲）""]","[""221年""]","[""当阳挡曹军，义释严颜，击败张郃""]","[""车骑将军""]","[""益德（一作翼德）""]","[""西乡侯""]",,,"[""桓侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马超,https://baike.baidu.com/item/%E9%A9%AC%E8%B6%85/1201,"[""汉末三国""]","[""马超""]","[""汉族""]","[""扶风茂陵""]","[""222年""]","[""辅助刘备建立蜀汉""]",,"[""孟起""]",,"[""锦马超"", ""神威天将军""]","[""176年""]","[""威侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""骠骑将军、斄乡侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黄忠,https://baike.baidu.com/item/%E9%BB%84%E5%BF%A0/909,"[""汉末三国""]","[""黄忠""]","[""汉族""]","[""南阳""]","[""220年""]","[""定军山斩夏侯渊""]","[""后将军""]","[""汉升（一作汉叔）""]","[""关内侯""]",,,"[""刚侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赵云,https://baike.baidu.com/item/%E8%B5%B5%E4%BA%91/6083,"[""汉末三国（蜀汉）""]","[""赵云""]","[""汉族""]","[""常山真定""]","[""229年""]","[""两扶幼主，扫荡西川，汉水之战""]","[""镇东将军""]","[""子龙""]","[""永昌亭侯""]","[""虎威将军"", ""常胜将军""]",,"[""顺平侯""]",,,"[""《驳成都屋舍园田分赐诸将议》""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魏延,https://baike.baidu.com/item/%E9%AD%8F%E5%BB%B6/8612,"[""汉末三国""]","[""魏延""]","[""汉族""]","[""义阳""]","[""234年""]","[""镇守汉中，大破费瑶和郭淮，子午谷奇谋""]","[""征西大将军，凉州刺史，前军师，汉中太守""]","[""文长""]","[""南郑侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
关平,https://baike.baidu.com/item/%E5%85%B3%E5%B9%B3/5449,"[""东汉末年""]","[""关平""]","[""汉族""]","[""河东解良（今山西运城）""]",,,,"[""坦之""]","[""武宁侯（宋）-->竭忠王(明）""]","[""关圣太子"", ""九天威灵显化大天尊""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周仓,https://baike.baidu.com/item/%E5%91%A8%E4%BB%93/18118,"[""汉末三国""]","[""周仓""]","[""汉族""]","[""山西平陆""]","[""建安二十五年（公元220年）""]","[""生擒庞德、天下第一忠心之人""]","[""关羽副将""]",,,"[""周大将军""]",,"[""武烈候""]",,"[""字元福""]",,,,,,,,,,,,,,,,,,,,,,"[""威灵惠勇公""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""威宁将军、威宣忠勇公""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
关兴,https://baike.baidu.com/item/%E5%85%B3%E5%85%B4/1149149,"[""三国（蜀汉）""]","[""关兴""]","[""汉族""]","[""河东解县""]",,"[""多次参加诸葛亮北伐""]",,"[""安国""]","[""汉寿亭侯""]","[""关安国""]",,,"[""河东解县""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
张苞,https://baike.baidu.com/item/%E5%BC%A0%E8%8B%9E/4528,"[""三国""]","[""张苞""]",,"[""涿郡（今河北涿州）""]",,,,,,"[""与关兴并称“小关张”（《三国演义》）""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈到,https://baike.baidu.com/item/%E9%99%88%E5%88%B0/1788482,"[""汉末三国""]","[""陈到""]","[""汉族""]","[""豫州汝南""]","[""247年""]","[""统领并训练“白毦兵”，镇守永安、辅佐刘备""]","[""护军、征西将军、永安都督""]","[""叔至""]","[""亭侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李严,https://baike.baidu.com/item/%E6%9D%8E%E4%B8%A5/23422,"[""汉末三国""]","[""李严""]","[""汉族""]","[""南阳""]","[""234年""]","[""参与制定《蜀科》""]","[""尚书令，中都护，骠骑将军""]","[""正方""]",,"[""李平""]",,,,,,,,"[""官员、将领""]",,,,,,,,,,"[""都乡侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孟达,https://baike.baidu.com/item/%E5%AD%9F%E8%BE%BE/6777,"[""汉末三国""]","[""孟达""]","[""汉族""]","[""扶风郿县""]","[""228年""]","[""夺取上庸""]",,"[""子度（本字子敬小说《三国演义》中字子庆）""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""散骑常侍、建武将军，平阳亭侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刘封,https://baike.baidu.com/item/%E5%88%98%E5%B0%81/1149656,"[""东汉末年""]","[""刘封""]","[""汉人""]",,"[""220年""]","[""攻略上庸""]","[""副军将军""]",,,"[""寇封""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""被刘备赐死""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
姜维,https://baike.baidu.com/item/%E5%A7%9C%E7%BB%B4/8901,"[""三国""]","[""姜维""]","[""汉人""]","[""天水冀县""]","[""264年3月3日""]","[""洮西大破王经，据守剑阁阻挡住钟会大军""]","[""大将军""]","[""伯约""]","[""当阳亭侯，平襄侯""]","[""姜伯约，天水麒麟儿，幼麟""]","[""202年""]",,,,"[""《蒲元别传》""]",,,,,,,,,,,,,,,,,,,,,"[""开明王（西魏）""]",,,,,,,,,,,,,,,,,,,,,,,,,,"[""天水姜氏""]",,,,,,,,,,,,,,,,,,"[""蜀汉""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
廖化,https://baike.baidu.com/item/%E5%BB%96%E5%8C%96/69671,"[""三国（蜀汉)""]","[""廖化""]","[""汉族""]","[""襄阳郡中卢县""]","[""264年""]","[""攻破游奕，击杀王赟""]","[""右车骑将军、并州刺史""]","[""元俭""]","[""中乡侯""]","[""廖淳""]",,,,,,,,,,,,,,"[""蜀中无大将，廖化作先锋""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马谡,https://baike.baidu.com/item/%E9%A9%AC%E8%B0%A1/17368,,,,"[""襄阳宜城（今湖北宜城南）""]","[""228年""]","[""协助诸葛亮平定南蛮""]","[""越嶲太守、丞相参军""]",,,"[""幼常""]","[""190年""]",,,,,"[""马谡""]","[""汉族""]","[""官员、将领""]",,,,,,,,,,,,,,,,,,,,,,,"[""诸葛亮北伐时因作战失误失守街亭""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""汉末三国""]","[""蜀汉侍中马良""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马岱,https://baike.baidu.com/item/%E9%A9%AC%E5%B2%B1/31534,"[""汉末三国""]","[""马岱""]","[""汉族""]","[""扶风茂陵""]",,"[""斩杀魏延""]","[""平北将军""]",,"[""陈仓候""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王平,https://baike.baidu.com/item/%E7%8E%8B%E5%B9%B3/1767,"[""三国""]","[""王平""]","[""汉化賨人""]","[""巴西宕渠""]","[""248年""]","[""击退曹爽大举伐蜀""]","[""镇北大将军，汉中太守""]","[""子均""]","[""安汉侯""]","[""何平""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
张翼,https://baike.baidu.com/item/%E5%BC%A0%E7%BF%BC/10737882,"[""三国（蜀汉）""]","[""张翼""]","[""汉族""]","[""犍为郡武阳县（今四川省彭山县）""]","[""264年（曹魏景元五年）""]","[""与姜维争辩北伐问题 协助姜维北伐""]","[""左车骑将军、冀州刺史""]","[""伯恭""]","[""都亭侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
